interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220032902,1.86,13.46,0,0,44
0.0,1800.00,1220050900,0.08,7.64,0,0,1
0.0,1800.00,1220051000,0.29,8.11,0,0,4
0.0,1800.00,1220052000,0.24,6.81,3,0,0
0.0,1800.00,1220052100,0.31,7.64,0,0,4
0.0,1800.00,1220052502,0.07,8.12,0,1,1
0.0,1800.00,1220052503,0.17,6.52,0,0,2
0.0,1800.00,1220052504,0.17,6.60,0,0,2
0.0,1800.00,1220052601,0.85,6.54,10,0,0
0.0,1800.00,1220052603,0.91,6.92,0,1,11
0.0,1800.00,1220052604,0.86,6.94,0,0,11
0.0,1800.00,1220050206,0.75,6.90,0,8,9
0.0,1800.00,1220053400,0.07,7.75,0,0,1
0.0,1800.00,1220054600,0.22,5.36,0,0,2
0.0,1800.00,1220054700,0.31,7.21,2,2,2
0.0,1800.00,1220056300,0.22,7.78,0,3,3
0.0,1800.00,1220057800,1.83,2.13,7,0,0
0.0,1800.00,1220058200,2.23,6.18,10,0,14
0.0,1800.00,1220058700,4.21,2.20,16,1,3
0.0,1800.00,1220058904,0.17,6.53,2,0,0
0.0,1800.00,1220059003,0.61,7.28,8,0,0
0.0,1800.00,1220059200,0.08,7.32,0,1,1
0.0,1800.00,1220059300,0.53,6.32,5,0,1
0.0,1800.00,1220053500,0.28,8.08,0,0,4
0.0,1800.00,1220059600,0.07,7.77,0,1,1
0.0,1800.00,1220050205,0.88,7.20,0,0,11
0.0,1800.00,1220050202,0.09,6.58,0,1,1
0.0,1800.00,1220036202,1.15,12.68,1,5,23
0.0,1800.00,1220036203,0.85,13.08,0,0,19
0.0,1800.00,1220036204,0.89,12.99,0,0,20
0.0,1800.00,1220036205,1.06,12.82,0,0,23
0.0,1800.00,1220036206,1.03,12.82,0,0,23
0.0,1800.00,1220036301,3.04,10.25,0,0,54
0.0,1800.00,1220036303,2.40,13.02,0,0,55
0.0,1800.00,1220036304,2.23,13.16,0,0,51
0.0,1800.00,1220036305,2.45,13.10,0,0,54
0.0,1800.00,1220036306,2.38,13.00,3,0,51
0.0,1800.00,1220050204,0.09,6.51,0,0,1
0.0,1800.00,1220036400,0.25,8.21,1,0,3
0.0,1800.00,1220036601,0.14,12.27,0,0,3
0.0,1800.00,1220036602,0.09,12.60,0,0,2
