interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220032802,1.16,13.37,0,0,27
0.0,1800.00,1220049800,0.29,7.94,0,1,4
0.0,1800.00,1220050101,0.37,7.79,0,5,5
0.0,1800.00,1220050202,0.08,7.44,0,1,1
0.0,1800.00,1220050204,0.08,7.52,0,0,1
0.0,1800.00,1220050205,0.83,7.64,0,0,11
0.0,1800.00,1220050206,0.69,7.54,0,8,9
0.0,1800.00,1220050900,0.07,8.70,0,0,1
0.0,1800.00,1220051000,0.29,8.07,0,0,4
0.0,1800.00,1220052000,0.27,6.21,3,0,0
0.0,1800.00,1220052502,0.08,7.37,0,1,1
0.0,1800.00,1220052503,0.14,7.83,0,0,2
0.0,1800.00,1220052504,0.15,7.78,0,0,2
0.0,1800.00,1220052601,0.78,7.15,10,0,0
0.0,1800.00,1220052603,0.81,7.81,0,1,11
0.0,1800.00,1220052604,0.75,7.50,0,0,10
0.0,1800.00,1220053400,0.07,8.68,0,0,1
0.0,1800.00,1220053500,0.28,8.12,0,0,4
0.0,1800.00,1220054700,0.31,7.34,2,2,2
0.0,1800.00,1220056300,0.23,7.22,0,3,3
0.0,1800.00,1220056400,0.15,7.67,0,0,2
0.0,1800.00,1220057800,1.89,2.06,7,0,0
0.0,1800.00,1220049700,0.07,8.71,0,0,1
0.0,1800.00,1220046900,0.37,7.84,0,0,5
0.0,1800.00,1220036902,0.53,15.99,0,0,16
0.0,1800.00,1220036901,1.21,13.40,0,0,28
0.0,1800.00,1220036004,1.46,13.08,0,0,33
0.0,1800.00,1220036005,2.13,12.81,0,0,47
0.0,1800.00,1220036101,1.36,13.00,0,0,31
0.0,1800.00,1220036102,1.39,12.91,0,0,31
0.0,1800.00,1220036103,1.34,12.96,0,0,31
0.0,1800.00,1220036104,1.57,10.37,0,0,28
0.0,1800.00,1220036201,1.03,12.87,0,0,23
0.0,1800.00,1220036202,1.16,12.57,1,5,23
0.0,1800.00,1220036203,0.85,12.95,0,0,19
0.0,1800.00,1220036204,0.89,12.94,0,0,20
0.0,1800.00,1220058200,2.31,6.23,10,0,15
0.0,1800.00,1220036205,0.91,13.00,0,0,20
0.0,1800.00,1220036301,2.63,11.16,0,0,51
0.0,1800.00,1220036303,2.23,13.28,0,0,52
0.0,1800.00,1220036304,2.07,13.37,0,0,48
0.0,1800.00,1220036305,2.13,13.37,0,0,48
0.0,1800.00,1220036306,2.11,13.12,3,0,46
0.0,1800.00,1220036400,0.23,7.80,1,0,3
0.0,1800.00,1220036500,0.31,8.16,0,0,5
0.0,1800.00,1220036602,0.04,14.73,0,0,1
0.0,1800.00,1220036801,0.54,12.99,0,0,12
0.0,1800.00,1220036802,0.42,13.33,6,0,4
0.0,1800.00,1220036206,0.90,12.79,0,0,20
0.0,1800.00,1220036003,1.46,13.13,0,0,33
0.0,1800.00,1220058700,4.19,2.17,16,1,2
0.0,1800.00,1220059003,0.68,7.39,8,0,1
0.0,1800.00,1220065200,0.30,7.44,4,0,0
0.0,1800.00,1220065900,0.43,7.95,0,6,6
0.0,1800.00,1220066000,0.15,7.54,0,2,2
0.0,1800.00,1220066100,0.49,6.99,0,0,6
0.0,1800.00,1220066200,0.39,7.28,0,0,5
0.0,1800.00,1220066400,0.44,7.52,6,0,0
0.0,1800.00,1220066500,0.77,7.42,4,0,6
0.0,1800.00,1220067100,0.44,7.88,0,0,6
0.0,1800.00,1220067200,0.47,7.51,0,0,6
0.0,1800.00,1220067300,0.07,7.74,0,1,1
0.0,1800.00,1220067700,0.80,6.95,9,1,1
0.0,1800.00,1220067800,0.15,7.73,0,2,2
0.0,1800.00,1220067900,0.72,7.29,0,0,9
0.0,1800.00,1220068000,0.30,7.79,0,2,4
0.0,1800.00,1220068100,0.25,6.90,0,3,3
0.0,1800.00,1220068200,1.47,7.01,0,0,18
0.0,1800.00,1220068300,2.03,7.42,18,5,9
0.0,1800.00,1220068400,0.35,7.57,0,3,4
0.0,1800.00,1220068600,0.14,8.14,0,0,2
0.0,1800.00,1220068700,0.16,7.30,0,2,2
0.0,1800.00,1220069201,1.32,7.55,0,0,17
0.0,1800.00,1220064900,1.61,2.07,6,0,0
0.0,1800.00,1220064700,0.16,7.56,0,0,2
0.0,1800.00,1220064600,0.21,2.62,0,1,1
0.0,1800.00,1220064300,0.57,1.96,0,2,2
0.0,1800.00,1220059200,0.08,7.29,0,1,1
0.0,1800.00,1220059300,0.41,6.79,5,0,0
0.0,1800.00,1220059600,0.07,7.79,0,1,1
0.0,1800.00,1220060100,0.28,16.05,0,8,8
0.0,1800.00,1220060801,1.50,2.08,0,5,6
0.0,1800.00,1220060802,1.42,2.37,5,1,2
