,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
28660,1210043300,1210021400,1210022100,1,104,000,-,강남대로,0,0,000,60,0,0,0,91.000415334894,,"LINESTRING (127.03448905461765 37.48280278753497, 127.03498365052788 37.48313969595877, 127.03529059411898 37.48331580863022)"
28667,1210043400,1210022100,1210021400,1,104,000,-,강남대로,0,0,000,60,0,0,0,91.999829807222,,"LINESTRING (127.03521131718276 37.48340355268066, 127.03489978856693 37.48322480931409, 127.03440089696663 37.482884975318676)"
32037,1220334200,1220024101,1220153100,1,104,000,-,-,0,0,000,40,0,0,0,90.407035198477,도로명없음,"LINESTRING (127.05844272092125 37.49230876753155, 127.05834295517468 37.49256119074972, 127.05798889966717 37.493033245914525)"
32230,1220331600,1220151900,1220152000,1,104,000,-,강남대로42길,0,0,000,40,0,0,0,52.37364939089,,"LINESTRING (127.03622074007416 37.485469816758716, 127.0364835953743 37.48561167352073, 127.03670895012246 37.485736869995996)"
32235,1220331500,1220152000,1220151900,1,104,000,-,강남대로42길,0,0,000,40,0,0,0,52.211267771416,,"LINESTRING (127.0366313540781 37.48582556410381, 127.03640675242924 37.48570078621925, 127.0361446569752 37.485559339014785)"
32256,1220331800,1220025901,1220152300,1,104,000,-,도곡로28길,0,0,000,30,0,0,0,65.432425226005,,"LINESTRING (127.04237370231391 37.49285959700748, 127.04264388053072 37.49231075667868)"
32257,1220331900,1220017501,1210025101,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,144.171245750374,,"LINESTRING (127.03914127654659 37.48660073813108, 127.03920717666341 37.48650962075493, 127.0392288331544 37.48645187245976, 127.03931519840155 37.486073538352485, 127.03940135120133 37.485417204431606, 127.03937923342768 37.48532986625834)"
32299,1220334100,1220153100,1220024101,1,104,000,-,-,0,0,000,40,0,0,0,87.591247187511,도로명없음,"LINESTRING (127.0578724204512 37.49297778027165, 127.05821830932128 37.49251661454336, 127.05831329372239 37.492276290711025)"
32300,1220330000,1220048100,1220151300,1,104,000,-,-,0,0,000,30,0,0,0,150.959566530013,도로명없음,"LINESTRING (127.04792329112614 37.51843334255296, 127.04816513096662 37.517582235762205, 127.0483026545198 37.517107185030774)"
32306,1220330200,1220048500,1220151400,1,104,000,-,학동로87길,0,0,000,10,0,0,0,83.225771335983,,"LINESTRING (127.05269349650591 37.51927079430284, 127.0525473709008 37.51979663522275, 127.05249755821687 37.520004175480054)"
32336,1220332200,1220017502,1220017503,1,104,000,-,-,0,0,000,10,0,0,0,166.227551052278,도로명없음,"LINESTRING (127.03776502573616 37.48718387248557, 127.03879132589026 37.48728578636686, 127.03909132480582 37.487319120290074, 127.03962951223832 37.487372896956856)"
32340,1220332300,1220152200,1220017900,1,104,000,-,남부순환로377길,0,0,000,30,0,0,0,88.561455251874,,"LINESTRING (127.0449729242938 37.48704604337149, 127.04509465261249 37.48687563076713, 127.0452284713352 37.48655776072683, 127.04534200987976 37.4863070026869)"
32349,1220331200,1220037401,1220151800,1,104,000,-,테헤란로86길,0,0,000,40,0,0,0,167.741773431346,,"LINESTRING (127.05873387203656 37.507519641855524, 127.05900462996073 37.50696773242328, 127.05941701865977 37.506109675247394)"
32368,1220332000,1210025101,1220017501,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,152.877320327739,,"LINESTRING (127.03951223363725 37.485308477868294, 127.03953845427426 37.48541201567427, 127.03944960999395 37.48608885934274, 127.03936098356829 37.486477102686955, 127.0393326428118 37.48655267246928, 127.03925883366914 37.48665472627649)"
32369,1220332100,1220017503,1220017502,1,104,000,-,-,0,0,000,10,0,0,0,166.218285862568,도로명없음,"LINESTRING (127.03961263091328 37.487480178431646, 127.03907351323367 37.48742630829193, 127.03877356591258 37.4873929797133, 127.03774824581672 37.48729116357668)"
32379,1220329900,1220151300,1220048100,1,104,000,-,-,0,0,000,30,0,0,0,150.911048971366,도로명없음,"LINESTRING (127.04843492251024 37.51713147868137, 127.04829746182754 37.51760631600112, 127.0480556832288 37.518457210397266)"
50806,1220062102,1220030501,1220030500,1,104,000,-,선릉로69길,0,0,000,30,0,0,0,214.650786676968,,"LINESTRING (127.05077510309566 37.498580299332616, 127.04853307928353 37.49783899359634)"
50831,1220050106,1220017504,1220021400,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,120.040090266484,,"LINESTRING (127.04013022841472 37.48823547006808, 127.04013479514082 37.488237121866256, 127.04146445597098 37.488433481547325)"
50832,1220050202,1220017501,1220017500,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,120.085293990821,,"LINESTRING (127.03914812574081 37.48666252069125, 127.03910376587919 37.486620473619794, 127.03819221162028 37.48617681715617, 127.03799329747419 37.4861005776084)"
50833,1220050204,1220017503,1220017501,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,94.540278153261,,"LINESTRING (127.03955863380703 37.48744768184846, 127.03940019690832 37.48715060126998, 127.03916808786423 37.486681441552456, 127.03914812574081 37.48666252069125)"
50834,1220050205,1220021400,1220017504,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,122.970064907054,,"LINESTRING (127.0414397315378 37.4885397920262, 127.04009378183652 37.48834102740376, 127.04007413177241 37.48833391791056)"
50835,1220050206,1220017504,1220017503,1,104,000,-,남부순환로365길,0,0,000,30,0,0,0,109.714633424414,,"LINESTRING (127.04007413177241 37.48833391791056, 127.04002103986268 37.488314709300454, 127.03955863380703 37.48744768184846)"
50842,1220050900,1220020400,1220021200,2,104,000,-,언주로30길,0,0,000,30,0,0,0,114.699850308356,,"LINESTRING (127.05178757195233 37.48774684183067, 127.05290981778992 37.48826484667299)"
50843,1220051000,1220021200,1220020400,2,104,000,-,언주로30길,0,0,000,30,0,0,0,114.69981397626,,"LINESTRING (127.05284180648343 37.4883584053263, 127.05171956084439 37.487840398945366)"
