,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
17337,1210002000,105,¼­ÃÊ±¸-°­³²±¸,0,,POINT (127.01616373104075 37.523817481666555)
17447,1210021400,103,¼Ó¼ºº¯È­Á¡,0,,POINT (127.03444497638141 37.48284388098452)
17454,1210022100,101,¾çÀçÇÃ¶óÀÚ,1,,POINT (127.03525095623934 37.48335968066207)
17470,1210023700,104,¾çÀçÁöÇÏÂ÷µµ¼­Ãø,0,,POINT (127.03227722928123 37.48431162519087)
17472,1210024100,101,¾çÀç¿ª»ç°Å¸®,1,,POINT (127.03406089123655 37.48458059806184)
17474,1210024700,104,¾çÀçÁöÇÏÂ÷µµµ¿Ãø,0,,POINT (127.0360474110587 37.48484700810373)
17475,1210024701,101,BRÄÚ¸®¾Æº»»ç,0,,POINT (127.03636618245154 37.4848912949908)
17479,1210025100,101,¾çÀçºôµù,0,,POINT (127.03822043794835 37.48514888463971)
17480,1210025101,101,µµ°îµ¿910-3,0,,POINT (127.03944573297684 37.48531917253273)
17487,1210026200,101,¾çÀçÀüÈ­±¹±³Â÷·Î,1,,POINT (127.04135326304369 37.48558424654249)
17508,1210032500,101,Ã»³²ºôµù¾Õ,1,,POINT (127.02918581284047 37.49467644697177)
17516,1210033000,101,¼­ÃÊÆ®¶óÆÓ¸®½ºII,0,,POINT (127.0267249453352 37.495823448753704)
17517,1210033001,101,°­³²¿ª(½ÅºÐ´ç¼±),0,,POINT (127.02769377658359 37.496117662893965)
17518,1210033200,101,ÁØºôµù,0,,POINT (127.02839656328881 37.496331078786866)
17524,1210034100,101,°­³²¿ª»ç°Å¸®,1,,POINT (127.0276431827856 37.49798569648267)
17534,1210035400,101,´ëµ¿ºôµù¾Õ»ï¼º°í°´ÇÁ,1,,POINT (127.02691008957572 37.49950352975734)
17566,1210040400,101,±³º¸Å¸¿ö»ç°Å¸®,1,,POINT (127.02448635754082 37.504521274446816)
17572,1210042500,101,ÆÄ½ºÄíÂî½Å³íÇöÁ¡,1,,POINT (127.02387546695638 37.50581344111893)
17579,1210043400,101,Ã»ÇÏºôµù,1,,POINT (127.02327737624725 37.507065116070116)
17603,1210046000,101,³íÇö¿ª¾Õ±³Â÷·Î,0,,POINT (127.02132980811236 37.511113407878824)
17608,1210046500,101,¿øºôµù,1,,POINT (127.02081538096184 37.51220056317553)
17613,1210047200,101,°­³²¿þµù¹®È­¿ø,1,,POINT (127.01999891155683 37.51459887971743)
17618,1210047800,101,´ë¿øºôµù,1,,POINT (127.01855402929736 37.515810599807615)
17619,1210047900,101,½Å»ç¿ª»ç°Å¸®,1,,POINT (127.01956201373429 37.516125911890796)
17627,1210048800,106,ÇÑ³²IC,0,,POINT (127.0190048062834 37.5177218702145)
17628,1210048900,106,ÇÑ³²IC,0,,POINT (127.01913207036337 37.517762757926135)
17629,1210049100,106,ÇÑ³²IC,0,,POINT (127.0168725845238 37.52062611199296)
17631,1210049400,106,ÇÑ³²´ë±³³²Ãø,1,,POINT (127.01583555135252 37.5208086248889)
17634,1210049700,101,ÇÑ³²IC,1,,POINT (127.01642834631102 37.52110315205266)
17635,1210049800,106,ÇÑ³²IC,0,,POINT (127.01723664422649 37.52143671786168)
17636,1210050100,106,ÇÑ³²IC,0,,POINT (127.01760941778527 37.521934525483005)
17637,1210050200,106,ÇÑ³²IC,0,,POINT (127.01792306630219 37.52156542125409)
17638,1210050300,105,¼­ÃÊ±¸-°­³²±¸,0,,POINT (127.01776186009968 37.52177397279429)
17639,1210050400,106,ÇÑ³²´ë±³³²Ãø,0,,POINT (127.01550969572287 37.522550226355285)
17640,1210050500,104,Àá¿ø°í°¡Â÷µµ,0,,POINT (127.0175844575562 37.52226838405221)
17641,1210050600,106,ÇÑ³²IC,0,,POINT (127.01442005111002 37.522395839755504)
17642,1210050800,104,Àá¿ø°í°¡Â÷µµ,0,,POINT (127.01719540671279 37.52254563751503)
17649,1210051900,106,ÇÑ³²´ë±³,0,,POINT (127.01652189013657 37.522920534532155)
17693,1210082400,102,¼­ÃÊµ¿1390,0,,POINT (127.02465857636878 37.50237922310428)
17695,1210082600,102,°­³²¿ª±³Â÷·Î,0,,POINT (127.02705840797286 37.4973631517155)
17697,1210082800,102,¼­ÃÊµ¿1402,0,,POINT (127.02972072731332 37.49127220581465)
17732,1220001400,106,ÅºÃµ1±³,0,,POINT (127.08272517716551 37.499140932845904)
17733,1220001500,106,ÇÑ±¹°¡½º¾ÈÀü°ø»ç¼­¿ïÁö¿ªº»ºÎ¾Õ,0,,POINT (127.0774069989859 37.50055443857948)
17734,1220001700,101,ÈÖ¹®°í±³¾Õ±³Â÷·Î,1,,POINT (127.06514883961457 37.5052297805127)
17735,1220001900,106,°­³²¿îÀü¸éÇã½ÃÇèÀå,0,,POINT (127.06793796641487 37.50881305910737)
17736,1220002400,104,Ã»´ã´ë±³³²Ãø,0,,POINT (127.06317147884495 37.52179741619711)
17737,1220002500,106,ÇÑ³²IC,0,,POINT (127.01956262642639 37.52276683110512)
17738,1220002900,103,¼Ó¼ºº¯È­Á¡,0,,POINT (127.03434455766703 37.53301008556939)
17775,1220017500,101,¹é±¤ºôµù,0,,POINT (127.03802270342499 37.486051859645094)
17776,1220017501,101,µµ°îµ¿902-63,0,,POINT (127.03920005508695 37.48662773266897)
17777,1220017502,101,¾ðÁÖÃÊµîÇÐ±³,0,,POINT (127.03775663578219 37.48723751758116)
17778,1220017503,101,µµ°îµ¿895-60,0,,POINT (127.0396210715818 37.48742653769479)
17779,1220017504,101,µµ°îµ¿902-63,0,,POINT (127.04010218011172 37.48828469354233)
17780,1220017505,101,µµ°îµ¿902-95,0,,POINT (127.03746904789686 37.488545683434765)
17783,1220017900,101,¸ÅºÀ¿ª¾Õ±³Â÷·Î,1,,POINT (127.04540582467241 37.486325350636285)
17796,1220019300,101,¿ì¼ºÄ³¸¯ÅÍ-ºô,1,,POINT (127.0504817215688 37.487227989447085)
22072,1220020400,101,Å¸¿öÆÓ¸®½º¾Õ,1,,POINT (127.05175356641925 37.48779361994256)
22073,1220020500,101,¸ÅºÀÅÍ³Î¾Õ,0,,POINT (127.05001931378393 37.48797787607614)
22074,1220020600,101,¸ÅºÀÅÍ³Î,0,,POINT (127.05015403708848 37.48800119741291)
22076,1220020800,101,¸ÅºÀÅÍ³Î,0,,POINT (127.04931875598903 37.48810909694767)
22078,1220021000,101,¸ÅºÀÅÍ³Î,0,,POINT (127.04929760845128 37.48822477535909)
22079,1220021100,101,¸ÅºÀÅÍ³Î¾Õ±³Â÷·Î,1,,POINT (127.04985965469135 37.488427167151)
22080,1220021200,101,»ï¼º¿£Áö´Ï¾î¸µ»ç¿Á,0,,POINT (127.0528758115925 37.48831162600495)
22082,1220021400,101,°æ³²¾ÆÆÄÆ®,1,,POINT (127.0414520937634 37.48848663723814)
22083,1220021401,101,µµ°îµ¿874-1,1,,POINT (127.04156087595418 37.48973753832925)
22084,1220021500,101,¸ÅºÀÅÍ³Î,0,,POINT (127.05039736371363 37.48860727571298)
22086,1220021700,101,¸ÅºÀÅÍ³Î,0,,POINT (127.05043834209997 37.48874993370635)
22087,1220021900,101,¸ÅºÀÅÍ³Î,0,,POINT (127.04955646702406 37.48883892552139)
22088,1220022000,101,´Ã¹þ°ø¿ø,0,,POINT (127.05575344388136 37.488597665096464)
22090,1220022300,101,¸ÅºÀÅÍ³Î,0,,POINT (127.04967916371484 37.488880332061115)
22091,1220022400,101,´Ã¹þ°ø¿ø,0,,POINT (127.05626092038523 37.489105200038225)
22096,1220023200,101,¿µµ¿4±³,1,,POINT (127.05580807671933 37.48964894857489)
22099,1220023500,101,¹ÌÁøºôµù,1,,POINT (127.03287998690767 37.48993994999028)
22100,1220023600,101,¿Á½ÅÅ¸¿ö,1,,POINT (127.03340511882485 37.49011144462632)
22103,1220023900,101,´öÈïÁ¶°æ,1,,POINT (127.0350837459324 37.490629460886105)
22104,1220024000,101,µ¿ºÎ±³È¸,1,,POINT (127.03316301428886 37.49063001565314)
22105,1220024100,101,µµ°î¿ª¾Õ±³Â÷·Î,1,,POINT (127.05541224044462 37.49092810783295)
22106,1220024101,101,´ëÄ¡µ¿600,1,,POINT (127.05837800730785 37.492292529139036)
22107,1220024102,101,´ëÄ¡µ¿600,0,,POINT (127.05970542178983 37.49290614538689)
22109,1220024300,101,»óÁØºôµù,1,,POINT (127.03678482979791 37.49113671795932)
22123,1220025900,101,µµ°î1µ¿ÁÖ¹Î¼¾ÅÍÀÔ±¸±³Â÷·Î,1,,POINT (127.0408962710925 37.492395864716094)
22124,1220025901,101,¿ª»ïµ¿805,1,,POINT (127.04243686462638 37.49287933792793)
22129,1220026500,101,Ã»½ÇÁ¾ÇÕ»ó°¡,0,,POINT (127.05983874915259 37.49296777619278)
22130,1220026501,101,´ëÄ¡µ¿600,1,,POINT (127.06093691685054 37.49347143461285)
22136,1220027100,101,¹®Áø¹Ìµð¾îºôµù,1,,POINT (127.04037030549453 37.49351648764428)
22138,1220027300,101,¼­Á¤ºôµù,1,,POINT (127.03176410461656 37.49358407676126)
22139,1220027400,101,µµ°îÁß,1,,POINT (127.04514552257572 37.493729311666534)
22141,1220027600,101,°­³²¼¼ºê¶õ½º±³Â÷·Î,1,,POINT (127.04674364959658 37.494199614060896)
22144,1220027900,101,¿ª»ïµ¿M-MOTERSºôµù,1,,POINT (127.04478094052438 37.49445416185522)
22145,1220028000,101,´ëÄ¡¿ª¾Õ±³Â÷·Î,1,,POINT (127.06324159217898 37.49452838479863)
22147,1220028200,101,¿ª»ïÁß,1,,POINT (127.04841352872118 37.494785385301014)
22149,1220028500,101,¹é¾Èºôµù,0,,POINT (127.04639032546544 37.49494804404837)
22150,1220028600,101,´ë°îÃÊµîÇÐ±³,1,,POINT (127.06495342486056 37.495032846040196)
22151,1220028700,101,Áø´Þ·¡¾ÆÆÄÆ®,1,,POINT (127.04983802450025 37.49527111226947)
22152,1220028701,101,¿ª»ïÁßÇÐ±³,0,,POINT (127.04947433750178 37.49600281860881)
22153,1220028900,101,´ë¸²¿ª»ï¾ÆÆÄÆ®,1,,POINT (127.0460862784835 37.495592080154005)
22154,1220029000,101,±¸¿ª»ï¼¼¹«¼­¾Õ±³Â÷·Î,1,,POINT (127.03925402495531 37.49585332243492)
22155,1220029100,101,Àº¸¶»ó°¡,0,,POINT (127.06251270076896 37.49590190967748)
22156,1220029300,101,ÇÑÆ¼¿ª¾Õ±³Â÷·Î,1,,POINT (127.05290890371768 37.496297165940575)
22157,1220029500,101,ÇÐ¿©¿ï¿ª¾Õ±³Â÷·Î,1,,POINT (127.06994541152464 37.496512793300234)
22158,1220029900,101,·Ôµ¥¹éÈ­Á¡¾Õ,1,,POINT (127.05473595406336 37.49687562579136)
22159,1220029901,103,¼Ó¼ºº¯È­Á¡,0,,POINT (127.05632177174942 37.49739651176896)
22160,1220029902,102,´ëÄ¡µ¿1013-5,0,,POINT (127.05577683148037 37.494605399530684)
22161,1220029903,101,´ëÄ¡µ¿1021-18,0,,POINT (127.05926587301819 37.495782877072905)
22162,1220030000,101,±¤Áøºôµù,1,,POINT (127.04551743095764 37.49683193805446)
22163,1220030200,102,¿¤Áö°³Æ÷ÀÚÀÌ,0,,POINT (127.07718269813225 37.49701472970313)
22164,1220030300,104,´ëÄ¡±³¼­Ãø,0,,POINT (127.07311188256723 37.49744060386065)
22165,1220030400,101,»ï¹Ìºôµù,1,,POINT (127.05227904739621 37.49761956705921)
22166,1220030500,101,¿ª»ïµ¿HM´Ù¼¼´ëÁÖÅÃ,1,,POINT (127.04855908734629 37.49778906265044)
22167,1220030501,101,¿ª»ïµ¿755-8,0,,POINT (127.0508011099216 37.498530367900294)
22168,1220030600,104,´ëÄ¡±³µ¿Ãø,0,,POINT (127.07430906209231 37.4977974446555)
